fund_name,expense_ratio_pct
Atlas Islamic Money Market Fund,0.21
Atlas Islamic Stock Fund,4.06
Atlas KPK Islamic Pension Fund,0.26
Atlas Liquid Fund,0.54
Atlas Money Market Fund,0.54
Atlas Pension Fund,0.45
Atlas Pension Fund,1.77
Atlas Pension Fund,0.48
Atlas Pension Islamic Fund,0.45
Atlas Pension Islamic Fund,0.47
Atlas Pension Islamic Fund,1.69
Atlas Punjab Islamic Pension Fund,0.22
Atlas Punjab Pension Fund,0.22
Atlas Sovereign Fund,0.65
Atlas Stock Market Fund,4.09
EFU Hemayah Pension Fund,0.99
EFU Hemayah Pension Fund,2.27
EFU Hemayah Pension Fund,0.50
Faysal Halal Amdani Fund,1.57
Faysal Halal Amdani Fund II,0.59
Faysal Halal Amdani Fund III,0.53
Faysal Islamic Asset Allocation Fund,0.70
Faysal Islamic Asset Allocation Fund II,3.08
Faysal Islamic Asset Allocation Fund III (Faysal Shariah Flex Plan I),1.65
Faysal Islamic Asset Allocation Fund III (Faysal Shariah Flex Plan II),1.25
Faysal Islamic Asset Allocation Fund III (Faysal Shariah Flex Plan III),0.92
Faysal Islamic Cash Fund,1.57
Faysal Islamic Dedicated Equity Fund,7.10
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan I),1.72
Faysal Islamic Financial Growth Fund (Faysal Islamic Financial Growth Plan II),1.18
Faysal Islamic Financial Growth Fund II,0.34
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan I),1.11
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan II),1.45
Faysal Islamic Financial Planning Fund II (Faysal Priority Ascend Plan III),0.45
Faysal Islamic KPK Government Pension Fund,0.92
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan I),0.39
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan VI),0.31
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XV),0.31
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XVI),0.25
Faysal Islamic Mustakil Munafa Fund (Faysal Islamic Mehdood Muddat Plan XVII),0.25
Faysal Islamic Pension Fund,2.07
Faysal Islamic Pension Fund,3.66
Faysal Islamic Pension Fund,1.62
Faysal Islamic Punjab Pension Fund,0.34
Faysal Islamic Savings Growth Fund,1.95
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan I),1.95
Faysal Islamic Sovereign Fund (Faysal Islamic Sovereign Plan II),1.95
Faysal Islamic Special Income Plan I,1.34
Faysal Islamic Stock Fund,5.23
Faysal Islamic Stock Fund II,6.07
Faysal Khushal Mustaqbil Fund (Faysal Barak’ah Women Savers Plan),2.38
Faysal Khushal Mustaqbil Fund (Faysal Nu’umah Women Savers Plan),2.30
First Capital Mutual Fund,4.05
Golden Arrow Stock Fund,4.43
HBL Cash Fund,1.09
HBL Energy Fund,4.50
HBL Equity Fund,4.30
HBL Financial Sector Income Fund Plan I,1.64
HBL Financial Sector Income Fund Plan II,1.30
HBL Government Securities Fund,0.40
HBL Growth Fund-Class A,1.41
HBL Growth Fund-Class B,4.14
HBL Income Fund,1.40
HBL Investment Fund-Class A,1.41
HBL Investment Fund-Class B,4.50
HBL Islamic Asset Allocation Fund,4.64
HBL Islamic Equity Fund,4.30
HBL Islamic Fixed Term Fund Plan II,0.25
HBL Islamic Income Fund,1.73
HBL Islamic Money Market Fund,0.92
